adjusted_id,amplitude_levels,amplitude_resolution_bits,base,digit_count,family,id_bits_per_stream_tick,label,latency_ticks,max_amplitude,method,payload_bits,period_levels,physical_streams,shift_levels,stream_ticks
1.0,2,1.0,2,8,binary spike baseline,1.0,,8,1,binary_x1,8,0,1,0,8
1.0,2,1.0,2,8,binary spike baseline,1.0,,2,1,binary_x4,8,0,4,0,8
1.0,2,1.0,2,8,binary spike baseline,1.0,,1,1,binary_x8,8,0,8,0,8
0.5,2,1.0,2,8,binary spike baseline,0.5,,1,1,binary_x16,8,0,16,0,16
1.0,2,1.0,2,16,binary spike baseline,1.0,,16,1,binary_x1,16,0,1,0,16
1.0,2,1.0,2,16,binary spike baseline,1.0,,4,1,binary_x4,16,0,4,0,16
1.0,2,1.0,2,16,binary spike baseline,1.0,,2,1,binary_x8,16,0,8,0,16
1.0,2,1.0,2,16,binary spike baseline,1.0,,1,1,binary_x16,16,0,16,0,16
1.0,2,1.0,2,32,binary spike baseline,1.0,,32,1,binary_x1,32,0,1,0,32
1.0,2,1.0,2,32,binary spike baseline,1.0,,8,1,binary_x4,32,0,4,0,32
1.0,2,1.0,2,32,binary spike baseline,1.0,,4,1,binary_x8,32,0,8,0,32
1.0,2,1.0,2,32,binary spike baseline,1.0,,2,1,binary_x16,32,0,16,0,32
1.0,2,1.0,2,64,binary spike baseline,1.0,,64,1,binary_x1,64,0,1,0,64
1.0,2,1.0,2,64,binary spike baseline,1.0,,16,1,binary_x4,64,0,4,0,64
1.0,2,1.0,2,64,binary spike baseline,1.0,,8,1,binary_x8,64,0,8,0,64
1.0,2,1.0,2,64,binary spike baseline,1.0,,4,1,binary_x16,64,0,16,0,64
1.0,2,1.0,2,128,binary spike baseline,1.0,,128,1,binary_x1,128,0,1,0,128
1.0,2,1.0,2,128,binary spike baseline,1.0,,32,1,binary_x4,128,0,4,0,128
1.0,2,1.0,2,128,binary spike baseline,1.0,,16,1,binary_x8,128,0,8,0,128
1.0,2,1.0,2,128,binary spike baseline,1.0,,8,1,binary_x16,128,0,16,0,128
1.0,2,1.0,2,256,binary spike baseline,1.0,,256,1,binary_x1,256,0,1,0,256
1.0,2,1.0,2,256,binary spike baseline,1.0,,64,1,binary_x4,256,0,4,0,256
1.0,2,1.0,2,256,binary spike baseline,1.0,,32,1,binary_x8,256,0,8,0,256
1.0,2,1.0,2,256,binary spike baseline,1.0,,16,1,binary_x16,256,0,16,0,256
1.0,2,1.0,2,512,binary spike baseline,1.0,,512,1,binary_x1,512,0,1,0,512
1.0,2,1.0,2,512,binary spike baseline,1.0,,128,1,binary_x4,512,0,4,0,512
1.0,2,1.0,2,512,binary spike baseline,1.0,,64,1,binary_x8,512,0,8,0,512
1.0,2,1.0,2,512,binary spike baseline,1.0,,32,1,binary_x16,512,0,16,0,512
0.14841661761487163,3,1.584962500721156,mixed,2,matrix channel step-mode,0.2352347734034425,"diagonal article 348: {2..6}, {7..10}",40,2,article_348_alphabet,9.4093909361377,,1,P_max per channel,40
0.14072287610406295,3,1.584962500721156,mixed,2,matrix channel step-mode,0.22304048161856904,"diagonal contiguous bands, width=5",44,2,diagonal_width_5,9.813781191217037,,1,P_max per channel,44
0.11542603355654128,5,2.321928094887362,mixed,4,matrix channel step-mode,0.26801095019634463,"diagonal contiguous bands, width=5",84,4,diagonal_width_5,22.51291981649295,,1,P_max per channel,84
0.09928764708505315,9,3.169925001442312,mixed,8,matrix channel step-mode,0.31473439482929094,"diagonal contiguous bands, width=5",164,8,diagonal_width_5,51.61644075200371,,1,P_max per channel,164
0.08874267716815676,17,4.087462841250339,mixed,16,matrix channel step-mode,0.36273239535791557,"diagonal contiguous bands, width=5",324,16,diagonal_width_5,117.52529609596465,,1,P_max per channel,324
0.08158730583872412,33,5.044394119358453,mixed,32,matrix channel step-mode,0.4115585257871595,"diagonal contiguous bands, width=5",644,32,diagonal_width_5,265.04369060693074,,1,P_max per channel,644
0.11332907871955837,3,1.584962500721156,mixed,2,matrix channel step-mode,0.179622340011776,"diagonal contiguous bands, width=8",68,2,diagonal_width_8,12.214319120800766,,1,P_max per channel,68
0.08980006544752779,5,2.321928094887362,mixed,4,matrix channel step-mode,0.20850929488533868,"diagonal contiguous bands, width=8",132,4,diagonal_width_8,27.523226924864705,,1,P_max per channel,132
