method,label,digit_count,max_period_ticks,payload_bits,latency_ticks,id_bits_per_tick
article_348_alphabet,"diagonal article 348: {2..6}, {7..10}",2,10,9.4093909361377,40,0.2352347734034425
diagonal_width_5,"diagonal contiguous bands, width=5",2,11,9.813781191217037,44,0.22304048161856904
diagonal_width_5,"diagonal contiguous bands, width=5",4,21,22.51291981649295,84,0.26801095019634463
diagonal_width_5,"diagonal contiguous bands, width=5",6,31,36.5997195021164,124,0.2951590282428742
diagonal_width_5,"diagonal contiguous bands, width=5",8,41,51.61644075200371,164,0.31473439482929094
diagonal_width_5,"diagonal contiguous bands, width=5",10,51,67.33443840453094,204,0.33007077649279876
diagonal_width_5,"diagonal contiguous bands, width=5",12,61,83.61582514583097,244,0.3426878079747171
diagonal_width_5,"diagonal contiguous bands, width=5",14,71,100.36820579238386,284,0.3534091753252953
diagonal_width_5,"diagonal contiguous bands, width=5",16,81,117.52529609596465,324,0.36273239535791557
diagonal_width_5,"diagonal contiguous bands, width=5",18,91,135.03720313948455,364,0.37098132730627625
diagonal_width_5,"diagonal contiguous bands, width=5",20,101,152.8650048010165,404,0.37837872475499135
diagonal_width_5,"diagonal contiguous bands, width=5",22,111,170.97748503370926,444,0.3850844257515974
diagonal_width_5,"diagonal contiguous bands, width=5",24,121,189.34904900095668,484,0.39121704339040636
diagonal_width_5,"diagonal contiguous bands, width=5",26,131,207.95832875654153,524,0.3968670396117205
diagonal_width_5,"diagonal contiguous bands, width=5",28,141,226.78721520949756,564,0.4021049915062013
diagonal_width_5,"diagonal contiguous bands, width=5",30,151,245.82016492117674,604,0.40698702801519326
diagonal_width_5,"diagonal contiguous bands, width=5",32,161,265.04369060693074,644,0.4115585257871595
diagonal_width_8,"diagonal contiguous bands, width=8",2,17,12.214319120800766,68,0.179622340011776
diagonal_width_8,"diagonal contiguous bands, width=8",4,33,27.523226924864705,132,0.20850929488533868
diagonal_width_8,"diagonal contiguous bands, width=8",6,49,44.25984025555928,196,0.22581551150795554
diagonal_width_8,"diagonal contiguous bands, width=8",8,65,61.94382174729967,260,0.2382454682588449
diagonal_width_8,"diagonal contiguous bands, width=8",10,81,80.33888722529741,324,0.24795952847314015
diagonal_width_8,"diagonal contiguous bands, width=8",12,97,99.30363420007095,388,0.2559372015465746
diagonal_width_8,"diagonal contiguous bands, width=8",14,113,118.74375717685729,452,0.26270742738242764
diagonal_width_8,"diagonal contiguous bands, width=8",16,129,138.59181767737306,516,0.2685887939483974
diagonal_width_8,"diagonal contiguous bands, width=8",18,145,158.7971718518925,580,0.2737882273308491
diagonal_width_8,"diagonal contiguous bands, width=8",20,161,179.32038154447787,644,0.27844779742931347
diagonal_width_8,"diagonal contiguous bands, width=8",22,177,200.12986080386332,708,0.2826692949207109
diagonal_width_8,"diagonal contiguous bands, width=8",24,193,221.19974058003018,772,0.2865281613730961
diagonal_width_8,"diagonal contiguous bands, width=8",26,209,242.50844400677633,836,0.2900818708215028
diagonal_width_8,"diagonal contiguous bands, width=8",28,225,264.03769915495184,900,0.2933752212832798
diagonal_width_8,"diagonal contiguous bands, width=8",30,241,285.77183320158395,964,0.2964438103750871
diagonal_width_8,"diagonal contiguous bands, width=8",32,257,307.69725435290195,1028,0.2993163952849241
custom_diagonal_rule,custom diagonal user rule,2,11,9.055282435501189,44,0.20580187353411794
custom_diagonal_rule,custom diagonal user rule,4,23,21.435743500590164,92,0.23299721196293657
custom_diagonal_rule,custom diagonal user rule,6,35,35.283192404572596,140,0.2520228028898043
custom_diagonal_rule,custom diagonal user rule,8,47,50.094767792948396,188,0.2664615308135553
custom_diagonal_rule,custom diagonal user rule,10,59,65.626758371076,236,0.27807948462320337
custom_diagonal_rule,custom diagonal user rule,12,71,81.73438413057166,284,0.28779712722032275
custom_diagonal_rule,custom diagonal user rule,14,83,98.32151702412781,332,0.2961491476630356
custom_diagonal_rule,custom diagonal user rule,16,95,115.31962259584778,380,0.30347269104170466
custom_diagonal_rule,custom diagonal user rule,18,107,132.6773464050986,428,0.3099938000119126
custom_diagonal_rule,custom diagonal user rule,20,119,150.3547632515839,476,0.31587135136887373
custom_diagonal_rule,custom diagonal user rule,22,131,168.31993877085515,524,0.32122125719628847
custom_diagonal_rule,custom diagonal user rule,24,143,186.5467460550409,572,0.3261306749214002
custom_diagonal_rule,custom diagonal user rule,26,155,205.01341204466027,620,0.3306667936204198
custom_diagonal_rule,custom diagonal user rule,28,167,223.70151206523235,668,0.3348825030916652
custom_diagonal_rule,custom diagonal user rule,30,179,242.5952520457972,716,0.33882018442150447
custom_diagonal_rule,custom diagonal user rule,32,191,261.6809423368115,764,0.34251432243038155
