method,label,payload_bits,physical_streams,segment_bits,segment_capacity_bits,digit_count_per_stream,latency_ticks,stream_ticks,id_bits_per_stream_tick
binary_serial_multistream,"Binary serial, N=1",128,1,128,128,,128,128,1.0
matrix_channel_width8_multistream,"Matrix channel width=8, N=1",128,1,128,128,15,484,484,0.2644628099173554
binary_serial_multistream,"Binary serial, N=4",128,4,32,32,,32,128,1.0
matrix_channel_width8_multistream,"Matrix channel width=8, N=4",128,4,32,35,5,164,656,0.1951219512195122
binary_serial_multistream,"Binary serial, N=8",128,8,16,16,,16,128,1.0
matrix_channel_width8_multistream,"Matrix channel width=8, N=8",128,8,16,19,3,100,800,0.16
binary_serial_multistream,"Binary serial, N=16",128,16,8,8,,8,128,1.0
matrix_channel_width8_multistream,"Matrix channel width=8, N=16",128,16,8,12,2,68,1088,0.11764705882352941
binary_serial_multistream,"Binary serial, N=64",128,64,2,2,,2,128,1.0
matrix_channel_width8_multistream,"Matrix channel width=8, N=64",128,64,2,5,1,36,2304,0.05555555555555555
binary_serial_multistream,"Binary serial, N=1",256,1,256,256,,256,256,1.0
matrix_channel_width8_multistream,"Matrix channel width=8, N=1",256,1,256,264,28,900,900,0.28444444444444444
binary_serial_multistream,"Binary serial, N=4",256,4,64,64,,64,256,1.0
matrix_channel_width8_multistream,"Matrix channel width=8, N=4",256,4,64,71,9,292,1168,0.2191780821917808
binary_serial_multistream,"Binary serial, N=8",256,8,32,32,,32,256,1.0
matrix_channel_width8_multistream,"Matrix channel width=8, N=8",256,8,32,35,5,164,1312,0.1951219512195122
binary_serial_multistream,"Binary serial, N=16",256,16,16,16,,16,256,1.0
matrix_channel_width8_multistream,"Matrix channel width=8, N=16",256,16,16,19,3,100,1600,0.16
binary_serial_multistream,"Binary serial, N=64",256,64,4,4,,4,256,1.0
matrix_channel_width8_multistream,"Matrix channel width=8, N=64",256,64,4,5,1,36,2304,0.1111111111111111
binary_serial_multistream,"Binary serial, N=1",512,1,512,512,,512,512,1.0
matrix_channel_width8_multistream,"Matrix channel width=8, N=1",512,1,512,512,50,1604,1604,0.3192019950124688
binary_serial_multistream,"Binary serial, N=4",512,4,128,128,,128,512,1.0
matrix_channel_width8_multistream,"Matrix channel width=8, N=4",512,4,128,128,15,484,1936,0.2644628099173554
binary_serial_multistream,"Binary serial, N=8",512,8,64,64,,64,512,1.0
matrix_channel_width8_multistream,"Matrix channel width=8, N=8",512,8,64,71,9,292,2336,0.2191780821917808
binary_serial_multistream,"Binary serial, N=16",512,16,32,32,,32,512,1.0
matrix_channel_width8_multistream,"Matrix channel width=8, N=16",512,16,32,35,5,164,2624,0.1951219512195122
binary_serial_multistream,"Binary serial, N=64",512,64,8,8,,8,512,1.0
matrix_channel_width8_multistream,"Matrix channel width=8, N=64",512,64,8,12,2,68,4352,0.11764705882352941
binary_serial_multistream,"Binary serial, N=1",1024,1,1024,1024,,1024,1024,1.0
matrix_channel_width8_multistream,"Matrix channel width=8, N=1",1024,1,1024,1034,93,2980,2980,0.3436241610738255
