method,label,period_levels,shift_levels,digit_count,payload_bits,latency_ticks,fractal_value_bits,binary_integer_bits,unfolded_amplitude_signal_bits,unfolded_channel_table_bits,number_storage_gain_vs_binary,signal_storage_gain_vs_unfolded,state_table_storage_gain_vs_unfolded
article_348_alphabet,"diagonal article 348: {2..6}, {7..10}",,P_max per channel,2,9.4093909361377,40,9.4093909361377,9.4093909361377,80,80,1.0,8.502144351634074,8.502144351634074
diagonal_width_5,"diagonal contiguous bands, width=5",,P_max per channel,2,9.813781191217037,44,9.813781191217037,9.813781191217037,88,88,1.0,8.966982071982272,8.966982071982272
diagonal_width_5,"diagonal contiguous bands, width=5",,P_max per channel,4,22.51291981649295,84,22.51291981649295,22.51291981649295,252,336,1.0,11.193572493221646,14.924763324295528
diagonal_width_5,"diagonal contiguous bands, width=5",,P_max per channel,8,51.61644075200371,164,51.61644075200371,51.61644075200371,656,1312,1.0,12.709128921767714,25.41825784353543
diagonal_width_5,"diagonal contiguous bands, width=5",,P_max per channel,16,117.52529609596465,324,117.52529609596465,117.52529609596465,1620,5184,1.0,13.784266484018877,44.109652748860405
diagonal_width_5,"diagonal contiguous bands, width=5",,P_max per channel,32,265.04369060693074,644,265.04369060693074,265.04369060693074,3864,20608,1.0,14.578728477375641,77.75321854600342
diagonal_width_8,"diagonal contiguous bands, width=8",,P_max per channel,2,12.214319120800766,68,12.214319120800766,12.214319120800766,136,136,1.0,11.134472470789996,11.134472470789996
diagonal_width_8,"diagonal contiguous bands, width=8",,P_max per channel,4,27.523226924864705,132,27.523226924864705,27.523226924864705,396,528,1.0,14.387847801460024,19.183797068613366
diagonal_width_8,"diagonal contiguous bands, width=8",,P_max per channel,8,61.94382174729967,260,61.94382174729967,61.94382174729967,1040,2080,1.0,16.789406443836942,33.578812887673884
diagonal_width_8,"diagonal contiguous bands, width=8",,P_max per channel,16,138.59181767737306,516,138.59181767737306,138.59181767737306,2580,8256,1.0,18.615817609131618,59.570616349221176
diagonal_width_8,"diagonal contiguous bands, width=8",,P_max per channel,32,307.69725435290195,1028,307.69725435290195,307.69725435290195,6168,32896,1.0,20.04567773271659,106.91028124115516
custom_diagonal_rule,custom diagonal user rule,,P_max per channel,2,9.055282435501189,44,9.055282435501189,9.055282435501189,88,88,1.0,9.718084513299821,9.718084513299821
custom_diagonal_rule,custom diagonal user rule,,P_max per channel,4,21.435743500590164,92,21.435743500590164,21.435743500590164,276,368,1.0,12.87569054893763,17.167587398583507
custom_diagonal_rule,custom diagonal user rule,,P_max per channel,8,50.094767792948396,188,50.094767792948396,50.094767792948396,752,1504,1.0,15.011547774972529,30.023095549945058
custom_diagonal_rule,custom diagonal user rule,,P_max per channel,16,115.31962259584778,380,115.31962259584778,115.31962259584778,1900,6080,1.0,16.475947087156108,52.72303067889955
custom_diagonal_rule,custom diagonal user rule,,P_max per channel,32,261.6809423368115,764,261.6809423368115,261.6809423368115,4584,24448,1.0,17.517515639713263,93.42675007847075
